x,y,z,nx,ny,nz
250.35500000000002,93.03500000000001,30.5,-0.18674621196253943,0.07039226495973888,0.9798830447310947
329.23127075195316,160.43951538085938,31.560983657836914,-0.549325861113692,-0.22143243565939125,-0.8057349283416045
60.95,182.85,30.5,0.07593307768738339,-0.4587183772752606,0.8853313606005794
283.475,35.535000000000004,30.5,-0.0,-0.0,-1.0
24.035,41.515,30.5,0.23933350077652624,-0.059707248142480865,-0.9690998503380883
22.08612411499023,65.34181518554688,30.82187843322754,-0.7153171618576857,-0.2879831057659556,-0.6367001560744742
286.7499731445313,70.51793823242188,30.45709228515625,-0.9546856986139398,-0.27837818144858206,0.10526540246155988
45.44816635131836,113.89481658935547,30.517641067504883,0.12552452732548575,-0.8414301360115582,0.5255843597856426
8.833648948669435,119.86370544433595,30.927249908447266,-0.21030131443991915,-0.2252736555237052,-0.951328091287033
66.26161865234376,119.66967102050782,30.623668670654297,0.5198159293673094,-0.8512645169538081,0.07169464241768728
14.409057273864745,125.41332580566407,30.604496002197266,0.5276726662344817,0.10424630274784308,-0.8430268475395065
351.44,127.075,30.5,-0.26579711197515066,0.39560970931706074,0.879115949781222
25.093915634155273,127.84563476562501,30.48804473876953,-0.08854827880300478,-0.29581588349975513,-0.9511320441401838
131.89205688476562,143.73287353515624,30.64130401611328,-0.0,-0.0,-1.0
333.8186364746094,157.3382635498047,30.690980911254883,-0.34698106827637926,0.04147856131634861,0.9369544637862122
79.57280548095703,161.19960754394532,30.477663040161133,0.03772903029152586,0.12041886917547137,-0.9920059557380497
174.30359924316406,162.64857666015627,30.5925235748291,-0.2046494422854415,-0.13141442670794323,-0.9699736358403152
45.425000000000004,165.37,31.0,0.08488681768593262,-0.4521982829222935,0.8878687634472139
324.8304431152344,168.2823553466797,30.66340446472168,-0.14198088105764078,-0.023484870044332744,0.9895907691026107
279.57906616210937,173.76959045410158,30.55854606628418,-0.0,-0.0,-1.0
336.61317016601566,175.89125061035156,30.559816360473636,-0.0,-0.0,-1.0
276.50671875,184.80859375,30.88888931274414,-0.3442995358156614,0.2618906807990521,-0.9015936451349514
42.885847167968755,197.23361938476563,30.86496925354004,-0.06820601226164172,-0.9030703041101595,0.42404241029141054
261.78747680664065,211.0487384033203,30.765560150146484,-0.1412691999556574,0.053919460742173,-0.9885017475438077
120.17500000000001,211.89689147949218,30.54511260986328,0.46381201435983976,-0.5209398577043245,-0.7165891989072024
119.83,214.935,30.5,-0.6014786334886795,-0.526590712939379,0.6007709001795839
12.272555351257324,217.0197821044922,30.931915283203125,0.16328508749267384,-0.01927324765994639,-0.9863906539131178
204.44555969238283,217.82862854003906,30.54555320739746,-0.8649109168683351,-0.04609474794118616,-0.4998043418120876
106.62895599365235,225.7033770751953,30.45928382873535,-0.13622723348159868,-0.9858135848195996,-0.09804956319678373
23.486137161254888,226.0118640136719,30.763513565063477,0.33954242102147836,-0.5771014884013126,0.7427414196151059
313.2431262207031,226.47510681152346,31.662748336791992,-0.3175424941903294,-0.9365504302483942,0.14845893703288002
215.8252813720703,227.3279766845703,30.66490364074707,-0.9572278826315866,-0.22600975493447745,-0.1806498585305469
216.53600158691407,234.6351794433594,31.16866111755371,0.2078582518712157,-0.45673420243518986,0.8649790838251141
