x,y,z
329.2793933105469,160.416689453125,31.756053924560543
50.897744293212895,35.01173034667969,31.68569564819336
343.054208984375,190.11350219726563,32.37202835083008
6.110231761932373,196.8636315917969,32.4845085144043
219.3306475830078,235.0954180908203,32.41201400756836
310.9258874511719,235.55576904296876,32.016456604003906
29.847251892089844,59.65460754394532,31.5324764251709
16.059559783935548,77.5729116821289,31.52302932739258
104.40726745605468,112.24831756591797,31.82212829589844
341.95126464843753,114.26536590576173,31.48042869567871
144.01123474121096,124.7605828857422,31.49560546875
229.97452087402345,156.48559020996095,31.60803985595703
311.06447143554686,162.83976135253906,31.694869995117188
328.1977868652344,166.52113708496094,31.480852127075195
356.5,189.52,31.5
32.475581665039066,189.47264953613282,31.53904724121094
328.555,194.465,31.5
344.2215319824219,195.18205139160156,31.97231674194336
98.65963989257813,196.73866455078127,31.56664276123047
341.060576171875,201.2541131591797,31.793088912963864
162.15,207.69,32.0
333.6058190917969,212.08292419433596,31.50420570373535
74.03563690185547,212.99513305664064,32.632911682128906
282.90000000000003,220.57000000000002,31.5
218.4650030517578,225.53249145507814,31.639129638671875
24.423768997192386,227.3529083251953,31.571765899658203
261.74,229.54000000000002,31.5
304.7264721679688,230.0868536376953,31.51833724975586
179.17000000000002,233.22,31.5
305.2876025390625,234.8416796875,31.48399353027344
234.08519531250002,237.50071777343751,32.92388153076172
123.05000000000001,239.20000000000002,31.5
182.58831604003908,239.2567138671875,31.59919548034668
117.90293579101564,9.620133590698243,31.60261917114258
190.69936767578125,26.305312957763675,31.5476188659668
40.940000000000005,38.755,31.5
289.26739501953125,44.570715789794924,31.799278259277344
229.54000000000002,49.68,31.5
179.745,50.715,31.5
179.51460693359377,51.877778167724614,31.518142700195316
43.355000000000004,52.325,31.5
60.145,52.555,31.5
253.42324829101562,57.09827209472657,31.85447692871094
247.02,59.800000000000004,31.5
82.915,61.410000000000004,31.5
181.52592773437502,65.24081115722656,31.711509704589844
257.485,69.69,31.5
194.82787048339844,72.78107421875,31.961822509765625
172.93857788085938,79.62304077148438,31.627593994140625
171.47374572753907,82.05078033447266,31.619863510131836
195.27,89.125,31.5
193.64608825683595,89.17283477783204,31.5506534576416
33.22724746704102,89.69229309082031,31.50352096557617
35.765,94.3,31.5
50.6,94.99000000000001,31.5
212.72370666503906,95.47047454833985,31.695528030395508
194.39667663574218,97.08464385986329,31.508771896362305
